"LKNTS_NM","DGNSS_ENGN_NM","OCCRRNC_LVSTCKCNT","LVSTCKSPC_NM","OCCRRNC_DE","FARM_LOCPLC"
"돼지오제스키병","경기 남부지소",1,"돼지",2003-05-30,"경기도 용인시 처인구 포곡읍 신원리"
"결핵병","강원 가축위생시험소",26,"소-젖소",2003-05-30,"강원도 철원군 김화읍 청양리"
"뉴캣슬병","전남 축산기술연구소",32200,"닭-육계",2003-03-24,"전라남도 나주시 봉황면 덕림리"
"가금티프스","충남 공주지소",6500,"닭-육계",2003-03-18,"충청남도 공주시 정안면 상룡리"
"가금티프스","경기도축산위생연구소",1200,"닭-육계",2003-04-10,"경기도 화성시 장안면 어은리"
"결핵병","경기 동부지소",1,"소-육우",2003-04-15,"경기도 여주시 대신면 가산리"
"결핵병","강원 가축위생시험소",1,"소-젖소",2003-05-30,"강원도 철원군 갈말읍 지경리"
"돼지오제스키병","경기 남부지소",1,"돼지",2003-05-30,"경기도 용인시 처인구 포곡읍 유운리"
"가금티프스","경기도축산위생연구소",30,"닭-산란계",2003-05-23,"경기도 화성시 양감면 용소리"
"가금티프스","충남 공주지소",4500,"닭-육계",2003-05-14,"충청남도 공주시 의당면 수촌리"
"결핵병","강원 가축위생시험소",1,"소-젖소",2003-05-30,"강원도 철원군 갈말읍 지경리"
"돼지오제스키병","경기 남부지소",2,"돼지",2003-05-30,"경기도 용인시 처인구 포곡읍 유운리"
"뉴캣슬병","충북 축산위생연구소",14000,"닭-육계",2003-03-06,"충청북도 괴산군 장연면 추점리"
"뉴캣슬병","전남 축산기술연구소",28000,"닭-육계",2003-04-15,"전라남도 무안군 해제면 대사리"
"결핵병","강원 가축위생시험소",2,"소-젖소",2003-06-19,"강원도 철원군 근남면 육단리"
"돼지오제스키병","경기 남부지소",6,"돼지",2003-05-30,"경기도 용인시 처인구 포곡읍 유운리"
"가금티프스","충북 축산위생연구소",2000,"닭-육계",2003-03-27,"충청북도 증평군 도안면 송정리"
"뉴캣슬병","전남 축산기술연구소",32000,"닭-육계",2003-04-16,"전라남도 함평군 나산면 삼축리"
"결핵병","강원 가축위생시험소",1,"소-젖소",2003-06-19,"강원도 철원군 근남면 사곡리"
"돼지열병","경기도축산위생연구소",3,"돼지",2003-03-21,"경기도 화성시 남양동"
"가금티프스","충남 공주지소",1100,"닭-육계",2003-05-29,"충청남도 공주시 장기면 평기리"
"결핵병","강원 가축위생시험소",6,"소-젖소",2003-06-19,"강원도 철원군 근남면 사곡리"
"가금티프스","충북 축산위생연구소",1000,"닭-육계",2003-04-03,"충청북도 청주시 상당구 남일면 송암리"
"돼지오제스키병","경기도축산위생연구소",35,"돼지",2003-06-03,"경기도 화성시 장안면 수촌리"
"돼지오제스키병","경기 남부지소",2,"돼지",2003-05-30,"경기도 용인시 처인구 포곡읍 유운리"
"돼지열병","경기북부 북부지소",19,"돼지",2003-04-09,"경기도 포천시 소흘읍 고모리"
"결핵병","강원 가축위생시험소",2,"소-젖소",2003-06-19,"강원도 철원군 서면 와수리"
"가금티프스","충북 축산위생연구소",5000,"닭-육계",2003-03-31,"충청북도 청주시 흥덕구 옥산면 덕촌리"
"결핵병","강원 가축위생시험소",1,"소-젖소",2003-06-26,"강원도 철원군 김화읍 청양리"
"돼지오제스키병","경기도축산위생연구소",20,"돼지",2003-06-10,"경기도 화성시 장안면 수촌리"
"가금티프스","전남 축산기술연구소",15000,"닭-육계",2003-04-25,"전라남도 무안군 삼향면 남악리"
"돼지오제스키병","경기 남부지소",1,"돼지",2003-06-18,"경기도 용인시 처인구 포곡읍 유운리"
"돼지오제스키병","경기도축산위생연구소",17,"돼지",2003-06-10,"경기도 화성시 장안면 수촌리"
"돼지오제스키병","경기 남부지소",1,"돼지",2003-06-18,"경기도 용인시 처인구 포곡읍 신원리"
"결핵병","경기도축산위생연구소",1,"소-육우",2003-03-20,"경기도 화성시 동탄면 오산리"
"돼지오제스키병","경기 남부지소",2,"돼지",2003-06-18,"경기도 용인시 처인구 포곡읍 신원리"
"가금티프스","전남 축산기술연구소",28400,"닭-육계",2003-04-30,"전라남도 영암군 덕진면 노송리"
"결핵병","경기도축산위생연구소",1,"소-육우",2003-05-22,"경기도 화성시 장덕동"
"가금티프스","충북 축산위생연구소",7000,"닭-육계",2003-05-19,"충청북도 청원군 강외면 호계리"
"결핵병","경기도축산위생연구소",2,"소-젖소",2003-05-29,"경기도 화성시 향남읍 도이리"
"뉴캣슬병","전남 축산기술연구소",46500,"닭-육계",2003-05-12,"전라남도 영암군 서호면 엄길리"
"결핵병","경기도축산위생연구소",2,"소-육우",2003-06-19,"경기도 화성시 비봉면 구포리"
"뉴캣슬병","전남 축산기술연구소",59100,"닭-육계",2003-05-12,"전라남도 곡성군 오산면 봉동리"
"브루셀라병","강원 동부지소",17,"소-한우",2003-05-17,"강원도 강릉시 강동면 상시동리"
"브루셀라병","경기도축산위생연구소",1,"소-육우",2003-01-27,"경기도 화성시 우정읍 화수리"
"브루셀라병","강원 동부지소",3,"소-한우",2003-06-02,"강원도 강릉시 강동면 상시동리"
"뉴캣슬병","전남 축산기술연구소",40600,"닭-육계",2003-05-15,"전라남도 곡성군 오산면 봉동리"
"돼지오제스키병","경기 남부지소",2,"돼지",2003-05-30,"경기도 용인시 처인구 포곡읍 신원리"
"돼지생식기호흡기증후군","강원 남부지소",50,"돼지",2003-03-13,"강원도 원주시 호저면 만종리"
"가금티프스","전남 축산기술연구소",27000,"닭-육계",2003-05-16,"전라남도 함평군 손불면 학산리"
"결핵병","경기 남부지소",4,"소-육우",2003-01-10,"경기도 평택시 청북면 삼계리"
"브루셀라병","충남 아산지소",1,"소-육우",2003-02-03,"충청남도 아산시 둔포면 관대리"
"가금티프스","전남 축산기술연구소",48000,"닭-육계",2003-05-29,"전라남도 함평군 월야면 월악리"
"브루셀라병","충남 공주지소",1,"소-육우",2003-02-18,"충청남도 공주시 신풍면 봉갑리"
"결핵병","경기 남부지소",1,"소-육우",2003-01-23,"경기도 안성시 서운면"
"결핵병","경기 남부지소",1,"소-육우",2003-07-11,"경기도 평택시 현덕면 운정리"
"가금티프스","충남 부여지소",2100,"닭-육계",2003-02-11,"충청남도 논산시 성동면 삼산리"
"결핵병","충남 아산지소",9,"소-육우",2003-05-24,"충청남도 아산시 둔포면 신남리"
"결핵병","충남 아산지소",1,"소-육우",2003-05-29,"충청남도 아산시 신창면 행목리"
"결핵병","충남 아산지소",11,"소-육우",2003-05-29,"충청남도 아산시 도고면 도산리"
"결핵병","충남 아산지소",1,"소-육우",2003-05-30,"충청남도 아산시 도고면 향산리"
"가금티프스","충남 가축위생연구소",1500,"닭-육계",2003-07-07,"충청남도 홍성군 홍북면 중계리"
"결핵병","통합지소",1,"소-육우",2003-07-14,"충청남도 서산시 인지면 풍전리"
"뉴캣슬병","충남 가축위생연구소",800,"닭-육계",2003-02-19,"충청남도 보령시 주산면 금암리"
"뉴캣슬병","장수지소",970,"닭-육계",2003-04-08,"전라북도 진안군 진안읍 군상리"
"뉴캣슬병","충남 가축위생연구소",2000,"닭-육계",2003-05-06,"충청남도 홍성군 홍성읍 고암리"
"뉴캣슬병","충남 가축위생연구소",54000,"닭-육계",2003-05-27,"충청남도 홍성군 서부면 거차리"
"브루셀라병","충남 가축위생연구소",2,"소-육우",2003-06-19,"충청남도 보령시 천북면 궁포리"
"브루셀라병","충남 가축위생연구소",1,"소-육우",2003-06-19,"충청남도 보령시 천북면 궁포리"
"결핵병","충남 가축위생연구소",2,"소-육우",2003-04-09,"충청남도 예산군 삽교읍 삽교리"
"결핵병","충북 북부지소",1,"소-젖소",2003-03-27,"충청북도 음성군 삼성면 양덕리"
"결핵병","충북 북부지소",2,"소-젖소",2003-05-15,"충청북도 음성군 감곡면 상우리"
"돼지열병","충남 가축위생연구소",6,"돼지-육성돈",2003-03-21,"충청남도 보령시 천북면 신덕리"
"돼지열병","충남 가축위생연구소",1,"돼지-육성돈",2003-03-21,"충청남도 홍성군 홍북면 대동리"
"결핵병","충북 북부지소",1,"소-젖소",2003-05-23,"충청북도 음성군 감곡면 원당리"
